"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
A8903  NutriliteTM Digestive Enzyme,,13.75,43.50,43.50,58.00,14.16,43.20,43.20,48.00
A8914  NutriliteTM Balanced Health Omega,,6.00,18.00,18.00,24.00,5.90,18.00,18.00,20.00
A8919  NutriliteTM Heart Health Omega,,10.50,31.50,31.50,42.00,10.33,31.50,31.50,35.00
A8992  NutriliteTM Sleep Health,,7.25,22.50,22.50,30.00,7.38,22.50,22.50,25.00
AA0114  NutriliteTM Digestive Probiotic,,11.25,33.75,33.75,45.00,11.21,34.20,34.20,38.00
120571  NutriliteTM Balance WithinTM Probiotic,,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
109745  NutriliteTM Vitamin C Extended Release - 60 Tablets,,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
123843  NutriliteTM Immunity Pack,,8.22,24.65,24.65,29.00,7.97,24.30,24.30,27.00
124484  NutriliteTM Daily – 60 Tablets,,4.53,13.60,13.60,16.00,4.43,13.50,13.50,15.00
290215  NutriliteTM Strong Living Bundle,,34.00,103.50,103.50,138.00,34.23,104.40,104.40,116.00
294984  NutriliteTM Double XTM Messenger Kit,,39.67,75.15,170.00,173.60,22.31,68.04,107.10,114.66
100332  NutriliteTM Perfect Pack for Your Health - 30 day refill,,35.75,108.75,108.75,145.00,35.70,108.90,108.90,121.00
n* by NutiliteTM CATEGORY,,,,,,,,,
124504  n* by NutriliteTM Rays for Days - Sunny Vitamin D Gummies Dietary Supplement,,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
"124505  n* by NutriliteTM Less Stress, More Yes – Relax Gummies Dietary Supplement",,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
124506  n* by NutriliteTM Sweet Dreams – Sleep Gummies Dietary Supplement,,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
124555  n* by NutriliteTM Go Shield – Immunity Gummies Dietary Supplement,,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
124556,n* by NutriliteTM Slay the Day – Focus Gummies Dietary Supplement,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
124557,n* by NutriliteTM Slay the Day – Focus Shot Dietary Supplement,8.10,24.30,24.30,27.00,7.97,24.30,24.30,27.00
124558,n* by NutriliteTM Kombuch-Yeah! – Kombucha-style Drink Mix,6.00,18.00,18.00,20.00,5.90,18.00,18.00,20.00
124559,n* by NutriliteTM Take a Sec – Stress + Sleep Tea,3.45,10.35,10.35,11.50,3.39,10.35,10.35,11.50
124560,n* by NutriliteTM Focus! – Topical Essential Oil Blend,6.00,18.00,18.00,20.00,5.90,18.00,18.00,20.00
124561,n* by NutriliteTM Rays for Days – Sunny Topical Essential Oil Blend,6.00,18.00,18.00,20.00,5.90,18.00,18.00,20.00
124562,n* by NutriliteTM Sweet Dreams – Sleep Topical Essential Oil Blend,6.00,18.00,18.00,20.00,5.90,18.00,18.00,20.00
124820,n* by NutriliteTM Get Your ZZZs Sleep and Relax Kit,19.70,59.09,59.09,65.00,19.18,58.50,58.50,65.00
100193,NutriliteTM Carb Blocker,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
100280,NutriliteTM Lean Muscle,14.75,44.25,44.25,59.00,14.46,44.10,44.10,49.00
102736,NutriliteTM Fiber Powder,8.25,24.75,24.75,33.00,8.26,25.20,25.20,28.00
110274,BodyKey by NutriliteTM Caramel Cookie Dough Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
110275,BodyKey by NutriliteTM Mixed Berry Crisp Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
110276,BodyKey by NutriliteTM Chocolate Brownie Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
110277,BodyKey by NutriliteTM Caramel Peanut Butter Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
110828,BodyKey by NutriliteTM Blueberries & Yogurt Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
110835,BodyKey by NutriliteTM Cookies & Cream  Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
110339,BodyKeyTM Whole Grain Tortilla Chips,10.80,32.40,32.40,36.00,10.62,32.40,32.40,36.00
110341,BodyKeyTM Oolong Green Tea,7.50,22.50,22.50,25.00,7.38,22.50,22.50,25.00
117085,NutriliteTM SlimmetryTM Dietary Supplement,9.25,27.75,27.75,37.00,9.15,27.90,27.90,31.00
122276,BodyKey by NutriliteTM Chocolate Meal Replacement Shake Mix,15.00,45.00,45.00,50.00,14.75,45.00,45.00,50.00
122277,BodyKey by NutriliteTM French Vanilla Meal Replacement Shake Mix,15.00,45.00,45.00,50.00,14.75,45.00,45.00,50.00
122278,BodyKey by NutriliteTM Strawberry Meal Replacement Shake Mix,15.00,45.00,45.00,50.00,14.75,45.00,45.00,50.00
122949,BodyKeyTM Chocolate Meal Replacement Shake Mix Packets,15.60,46.80,46.80,52.00,15.34,46.80,46.80,52.00
122950,BodyKeyTM French Vanilla Meal Replacement Shake Mix Packets,15.60,46.80,46.80,52.00,15.34,46.80,46.80,52.00
122951,BodyKeyTM Strawberry Meal Replacement Shake Mix Packets,15.60,46.80,46.80,52.00,15.34,46.80,46.80,52.00
282063,BodyKey by NutriliteTM Caffeine-free Soothing Tulsi and Chamomile Tea,2.70,8.10,8.10,9.00,2.66,8.10,8.10,9.00
285369,BodyKeyTM Slim Popcorn - 24 Bags,13.50,40.50,40.50,45.00,13.28,40.50,40.50,45.00
282064,BodyKey by NutriliteTM Zesty Protien Snack,8.85,26.55,26.55,29.50,8.85,27.00,27.00,30.00
290761,BodyKey by NutriliteTM Cinnamon Swirl Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
290762,BodyKey by NutriliteTM Savory Almonds & Seeds Meal Bar,12.60,37.80,37.80,42.00,12.39,37.80,37.80,42.00
293052,XSTM Energy Drink Tamarindo Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
286159,XSTM Energy Café Mocha,12.60,37.80,37.80,42.00,9.74,29.70,29.70,33.00
284728,XSTM Energy Drink Cranberry-Grape Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284729,XSTM Energy Drink Citrus Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284730,XSTM Energy Drink Tropical Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284731,XSTM Energy Drink Electric Lemon Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284733,XSTM Energy Drink Caffeine-Free Cranberry-Grape Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284734,XSTM Energy Drink Rootbeer Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284735,XSTM Energy Drink Black Cherry Cola Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284737,XSTM Energy Drink Wild Berry Blast,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284741,XSTM Sparkling Juiced Energy - Pink Grapefruit,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284742,XSTM Sparkling Juiced Energy - Mango Pineapple Guava,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
293054,XSTM Sparkling Juiced Energy - Dragonfruit,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
293054,XSTM Caffine-Free Sparkling Juiced Energy - Mango Pineapple Guava,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284736,XSTM Energy + Burn - Strawberry,10.56,31.68,31.68,36.00,8.26,25.20,25.20,28.00
284738,XSTM Energy Drink Classic Blast - New 8.4 oz.,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284740,XSTM Energy Drink Naranja Blast (Orange) - New 8.4 oz.,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
284739,XSTM Energy Drink Summit Blast - New 8.4 oz.,8.04,24.24,24.24,27.00,7.08,21.60,21.60,24.00
293055,XSTM Energy + Burn – Blood Orange,10.56,31.68,31.68,36.00,8.26,25.20,25.20,28.00
763743,XSTM Energy Gum – Mint Explosion - 6 Packs,7.20,17.60,20.70,23.00,6.79,17.60,20.70,23.00
101593,XSTM Energy + Focus – 60 Count,8.25,25.50,25.50,34.00,9.15,27.90,27.90,31.00
107846,XSTM Energy + Focus – Blister Pack,4.82,15.30,15.30,18.00,5.31,16.20,16.20,18.00
110369,XSTM Sports Protein Shake – Rich Chocolate - 12 Shakes,12.00,30.60,36.00,40.00,11.80,30.60,36.00,40.00
110370,XSTM Sports Protein Shake – Vanilla Crème - 12 Shakes,12.00,30.60,36.00,40.00,11.80,30.60,36.00,40.00
110371,XSTM Intense Pre-Workout Boost – Citrus Burst - 12 Stick Pack,10.20,26.01,30.60,34.00,7.97,20.66,24.30,27.00
110374,XSTM Post-Workout Recovery – Cherry Lemonade,13.80,35.19,41.40,46.00,13.57,35.19,41.40,46.00
110375,XSTM Sports Protein Powder – Chocolate Milkshake,16.50,42.08,49.50,55.00,16.23,42.08,49.50,55.00
110376,XSTM Sports Protein Powder – Vanilla Dream,16.50,42.08,49.50,55.00,16.23,42.08,49.50,55.00
110377,XSTM Sports Protein Powder Single Serve Packets – Chocolate Milkshake,12.00,30.60,36.00,40.00,8.56,22.19,26.10,29.00
110378,XSTM Energy Bars – Chocolate Chip,9.90,25.25,29.70,33.00,8.26,21.42,25.20,28.00
110379,XSTM Energy Bars – Peanut Butter Crunch,9.90,25.25,29.70,33.00,8.26,21.42,25.20,28.00
110385,XSTM Sports Protein Bars – Chocolate Peanut Butter,10.80,27.54,32.40,36.00,8.85,22.95,27.00,30.00
110386,XSTM Sports Protein Bars – Chocolate Berry Blast,10.80,27.54,32.40,36.00,8.85,22.95,27.00,30.00
110389,XSTM Sports Twist Tubes – Lemon Lime,6.00,15.30,18.00,20.00,4.72,12.24,14.40,16.00
110390,XSTM Sports Twist Tubes – Fruit Punch,6.00,15.30,18.00,20.00,4.72,12.24,14.40,16.00
110601,XSTM CocoWater Hydration Drink Mix - Strawberry Watermelon,8.40,21.42,25.20,28.00,6.79,17.60,20.70,23.00
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,"Previous RetailPrice","September 2020PV","September 2020BV","September 2020IBOC","September 2020Retail Price"
110627,XSTM Protein Crisps - Barbeque,10.80,27.54,32.40,36.00,9.15,23.72,27.90,31.00
